POND #,PONDNAME,DATE,"LONG (NAD83,DD)","LAT (NAD83,DD)",SO4 (mg L-1),NO3 (mg L-1),Cl (mg L-1),F (mg L-1),ANC (µeq L-1),DIC (mg L-1),DOC (mg L-1),TOTAL P1 (mg L-1),TOTAL P2 (mg L-1),SIO2 (mg L-1),Ca (mg L-1),Mg (mg L-1),Na (mg L-1),K (mg L-1),NH4 (mg L-1),TDAl (µg L-1),TAl (µg L-1),Fe (mg L-1),Mn (mg L-1),Pb (mg L-1),Zn (mg L-1),FIELDPH,LAB_pH,AIR_EQ_pH,TRUCOLOR (PtCo),SCONDUCT (µmhos cm-1)
050707,AVALANCHE LAKE,8/18/1987,73.96986667,44.13088611,4.62,0.2,0.25,0.007,-1.7,0.37,4.2,0,0.002,5,1.5,0.23,0.38,0.09,0.03,328,,0.04,0.019,0.002,0.009,4.8,4.99,4.99,20,19.6
060006,CLOSE POND,8/12/1986,74.86297222,44.56145,3.81,0,0.27,0.145,235.9,7.66,7.8,0.029,0.031,1.4,5.29,0.91,0.46,0.28,0,76,,0.523,0.186,0,0,6.24,6.26,7.3,70,37.3
060006A,COLTON FLOW,8/12/1986,74.93964167,44.55533889,5.01,0.14,1.32,0.061,97.1,1.74,7.3,0.008,0.007,4.7,3.61,0.77,1.16,0.33,0.02,97,,0.204,0.024,0.003,0.002,6.68,6.76,6.93,60,33.3
060008,JOHNS (GREEN) POND,8/14/1985,74.94186389,44.52172778,4.2,0,1.12,0.173,195.6,2.73,6.8,0.044,0.048,0.7,4.16,1.21,0.93,0.42,0,,58,0.019,0.004,0,0.003,6.05,7.02,7.33,30,37.1
060011,ARBUCKLE POND,7/16/1985,74.91769444,44.513675,2.66,0,0.36,0.046,662.8,8.53,3.6,0.004,0.004,0.1,9.15,3.28,0.32,0.51,0,,24,0.004,0.007,0,0,7.03,8.2,7.74,5,71.9
060013,FRENCH LAKE,8/16/1985,74.85991389,44.46784167,4.27,0,0.34,0.111,89.3,2.83,15.5,0.038,0.036,4,2.73,0.9,0.81,0.41,,,174,0.167,0.061,0,0.017,5.99,6.01,6.7,80,26.4
060014,BARNEY POND,8/8/1985,74.80991389,44.466175,3.99,0,0.27,0.092,214.4,4.05,5.6,0.013,0.013,1.3,3.61,1.24,0.93,0.42,0.02,,18,0.112,0.023,0.001,0.001,6.35,6.71,7.33,40,32.6
060015,HUGGARD POND,8/12/1986,74.80435556,44.44589722,2.8,0.03,1.34,0.071,145.6,2.78,21.6,0.032,,5.9,3.9,1.04,1.31,0.34,0.04,284,,1.148,0.165,0,0.004,6.09,6.26,6.71,227,32.5
060015A,LOWER HUGGARD POND,8/8/1985,74.81296944,44.45006389,5.17,0,3.74,0.113,478.1,7.72,5.7,0.016,0.015,3.7,7.23,2.54,3.29,0.61,0.02,,101,0.507,0.07,0.001,0.003,6.75,7.01,7.7,45,72.5
060017A,SOUTH COLTON RESERVOIR,8/14/1985,74.88102778,44.51728611,5.19,0.19,1.05,0.084,96.4,1.51,5.2,0.006,0.004,4,3.36,0.68,1.13,0.35,0,,49,0.142,0.013,0,0.005,6.29,6.77,6.99,25,32.7
060018,ROCK POND,7/25/1984,74.79213611,44.54756111,4.07,0,0.23,0.138,83.8,2.23,7.8,0.011,0.011,0.6,2.67,0.71,0.3,0.14,0,28,,0.135,0.014,,,6.12,6.12,6.75,70,20.5
060019,UNNAMED POND,7/31/1985,74.84630278,44.53950556,3.38,0,0.06,0.185,128.5,1.98,15.5,0.048,,1.9,3.73,0.74,0.64,0.25,,,133,0.58,0.022,0,0.004,5.91,6.64,6.91,90,27.2
060020,NORTHERN HORTON POND,8/12/1986,74.83519167,44.50950833,3.34,0,0,0.08,291.1,4.38,6.4,0.021,0.011,0.7,4.59,1.76,0.49,0.57,0,16,,0.053,0.03,0,0,6.6,7.1,7.39,35,39.8
060021,SOUTHERN HORTON POND,8/14/1985,74.82880278,44.50811944,1.64,0,0.17,0.092,140.2,1.74,8.5,0.039,,1.4,2.5,0.7,0.35,0.59,0,,29,0.05,0.005,0,0.037,6.3,6.98,7.11,35,21.3
060021A,FIVE FALLS RESERVOIR,7/25/1984,74.843525,44.52978611,6.71,0.22,1.29,0.098,84.8,1.14,5.4,0.004,0.005,4,3.5,0.65,1.1,0.36,0,35,,0.164,0.007,,,6.36,6.79,6.86,40,29.4
060023,ORMSBEE POND,7/16/1985,74.79769167,44.493675,4.09,0,0.28,0.067,87,1.23,5.5,0.017,0.014,0.2,2.56,0.69,0.57,0.32,0,,45,0.118,0.03,0,0.004,6.37,6.99,7.01,25,23.8
060025,LILYPAD POND,8/12/1986,74.76602222,44.52923056,3.39,0,0.29,0.049,29.9,2.68,11.6,0.046,0.05,1.6,1.54,0.37,0.35,0.46,0.28,167,,0.666,0.07,0,0.003,5.47,5.61,5.92,120,17.7
060027,LITTLE ROCK POND,7/25/1984,74.78158056,44.54728333,3.77,0,0.27,0.129,86.1,7.68,15.3,0.05,0.049,4.2,3.54,0.65,0.55,0.76,0,202,,1.27,0.053,,,5.75,5.71,6.75,280,25.7
060028,LONG POND,8/12/1986,74.76824444,44.53895278,3.6,0,0.26,0.075,62.2,1.05,8.6,0.011,0.01,2.9,1.9,0.57,0.63,0.35,0,116,,0.062,0.03,0,0.001,6.41,6.28,6.45,70,20.4
060029,STERLING POND,8/12/1986,74.72685556,44.53811944,4.49,0,0.68,0.066,206.5,2.84,4.9,0.009,0.009,1.1,3.95,1.14,0.9,0.29,0,30,,0.064,0.004,0,0,6.8,7.28,7.29,20,35.9
060031,JOE INDIAN POND,8/9/1985,74.73991111,44.48284167,4.49,0,0.21,0.094,149.2,1.65,11.1,0.016,0.023,4,3.63,1.08,0.97,0.34,0.04,,111,1,0.012,0.001,0.006,6.42,6.91,7.17,25,30.7
060031A,UNNAMED POND,8/6/1986,74.669625,44.47089722,1.6,0,0.25,0.079,94.8,2.14,28.6,,0.032,4.2,3.26,0.79,0.6,0.12,0,321,,2.008,0.158,0.003,0.014,5.58,5.79,6.03,280,22.8
060033,KILDARE POND,8/6/1986,74.69462778,44.44145278,4.27,0,0.23,0.078,85.8,1.09,13.8,0.012,0.009,2.5,2.92,0.71,0.69,0.33,0.01,172,,0.315,0.032,0,0.007,6.16,6.4,6.6,100,24.4
060035,WHITNEY POND,8/7/1985,74.62906667,44.45173056,2,0,0.07,0.076,82.9,2.5,7.1,0.019,0.02,1.3,1.76,0.56,0.44,0.07,0.01,,47,1.26,0.017,0,0.004,5.91,6.05,6.89,110,15.9
060035A,KETTLE POND,8/7/1985,74.62601111,44.43506389,4.42,0,0.25,0.04,11.8,0.36,7.1,0.015,0.01,0.5,1.35,0.39,0.86,0.15,0,,46,0.088,0.028,0,0.008,5.35,5.5,5.55,55,17.5
060035D,FOX MARSH POND,8/5/1986,74.75824167,44.39395278,2.6,,14.9,0.082,65.8,9.28,18.4,0.071,,4.9,3.36,0.78,9.6,0.39,0.04,185,,0.893,0.07,0.001,0.009,5.34,5.31,6.23,200,73
060036,MIDGET POND,8/7/1985,74.70101667,44.42950833,1.79,0,0.18,0.025,-12.2,1.03,7.6,0.029,0.027,0,0.69,0.19,0.05,0.27,,,23,0.203,0.065,0.002,0.005,4.65,4.77,4.79,55,13.4
060037,UNNAMED POND,8/12/1986,74.68184722,44.39089722,2.36,0,0.2,0.035,-41.5,4.08,11.1,,0.026,2.3,0.4,0.21,0.24,0.22,0.06,70,,0.416,0.056,0,0.003,4.36,4.4,4.37,140,23.4
060039,MCCUEN POND,8/6/1986,74.674625,44.39117222,2.61,0,0.06,0.08,-1.1,0.49,16.5,0.012,0.015,0.6,1.52,0.26,0.21,0.02,0.01,198,,0.461,0.027,0,0.009,4.79,4.78,4.77,180,18
060040,BUCK POND,8/6/1986,74.66434722,44.40728611,3.44,0,0.12,0.076,41.4,2.85,13.6,,0.011,3.7,2.19,0.39,0.52,0.16,0.01,193,,0.455,0.062,0.001,0.006,5.33,5.4,5.82,180,19.4
060041,AMBER LAKE,8/6/1986,74.62684444,44.39922778,4.9,0.02,0.32,0.08,157.8,1.85,9.9,0.022,,4,3.66,0.86,0.81,0.35,0.48,74,,0.217,0.034,0,0.001,6.71,6.95,7.13,70,32
060046,JORDAN LAKE,8/6/1986,74.61712222,44.37617222,6.22,0,0.34,0.07,95.8,1.16,11.3,0.009,0.011,2.9,3.35,0.86,0.8,0.33,0.01,100,,0.302,0.042,0,0.013,6.52,6.54,6.72,100,29.4
060047,LITTLE JORDAN LAKE,8/6/1986,74.59211944,44.38478333,4.51,0.03,0.27,0.07,92.7,1.94,23.2,0.026,0.026,6.6,3.67,0.82,0.75,0.21,0.06,212,,1.23,0.104,0,0.011,5.85,5.91,6.25,180,
060048,DEER POND,7/25/1984,74.6349,44.35228333,5.52,0,0.33,0.085,45.9,0.35,12,0.021,0.019,0,2.56,0.81,0.63,0.31,0,93,,1.59,0.016,,,6.25,6.14,6.15,220,22.3
060049,OTTER POND,7/25/1984,74.59128611,44.36811667,5.52,0,0.41,0.081,185.2,2.27,6.7,0.011,0.012,0.7,3.34,1.67,0.35,0.47,0,24,,0.278,0.001,,,6.32,6.96,7.14,40,31.3
060050,ROCK POND,8/6/1986,74.55433889,44.36867222,3.76,0,0.2,0.059,12.5,2.54,26.5,0.023,0.02,4.7,2.41,0.52,0.48,0.15,0.06,225,,1.192,0.042,0.001,0.011,4.68,4.77,4.78,175,26.6
060051,POTTER POND,8/14/1985,74.55600556,44.38145,4.42,0,0.34,0.096,168.2,2.14,15.4,0.038,,6.7,3.55,1.33,1.02,0.4,0.11,,97,3,0.04,0.001,0.007,6.13,6.79,7.07,225,33.8
060051B,UNNAMED POND,8/6/1986,74.56128333,44.38922778,1.59,0,0.19,0.039,-3.2,5.29,16.8,0.013,0.014,2.7,0.82,0.21,0.17,0.23,0.01,40,,1.912,0.036,0,0.008,,4.73,4.79,160,16.1
060052,SPRING POND,8/6/1986,74.50989167,44.36672778,2.03,0,0.15,0.002,-50.7,0.46,10.1,0.008,0.006,0,0.18,0.05,0.05,0.07,0,8,,0.124,0.005,0,0.005,4.25,4.29,4.29,50,23.9
060053,MOUNTAIN POND,8/13/1985,74.47878056,44.32978333,5.3,0,0.18,0.048,204.7,2.75,5.1,0.011,0.011,6.6,4.13,0.88,1.1,0.19,0,,45,0.083,0.004,0,0.002,6.08,7.09,7.48,35,33.6
060054,WILLIS POND,8/6/1986,74.50461389,44.34506111,4.44,0,0.26,0.022,176.4,2.66,7.8,0.011,0.02,4.5,3.75,0.8,0.67,0.27,0,32,,0.367,0.009,0,0.002,6.28,6.84,7.16,60,29.2
060055,UNNAMED POND,8/6/1986,74.50655833,44.34589444,2.5,0,0.32,0.012,-37.7,3.49,10.4,0.028,0.031,0,0.33,0.17,0.08,0.41,0.15,24,,0.274,0.043,0,0.005,4.4,4.44,4.41,100,21.2
060056,MUD POND,8/13/1985,74.49266944,44.35839444,3.84,,0.29,0.042,62.8,1.3,5.3,0.015,0.022,0.2,2.36,0.31,0.36,0.15,0,,108,0.137,0.004,0,0.002,6.12,6.41,6.96,20,18.1
060057,SUNSET POND,8/6/1986,74.51544722,44.31700556,3.61,0,0.24,0.035,68.7,4.02,20.8,0.066,0.024,5.7,3.06,0.51,0.57,0.2,0.01,186,,0.893,0.057,0,0.009,5.57,5.51,5.91,80,22.4
060057A,PITCHFORK POND,8/14/1985,74.49961389,44.28339444,4.29,0,0.49,0.04,27.4,0.51,4.5,0.007,0.008,0,1.74,0.36,0.51,0.29,0.02,,12,0.02,0.001,0.001,0.017,5.41,6.32,6.32,10,18.5
060059,UNNAMED POND,8/14/1985,74.72657222,44.36978611,2.66,0,0.32,0.088,215.4,5.27,11.1,0.031,0.031,6.3,3.23,1.25,1.01,0.46,0,,22,0.48,0.03,0,0.009,6,6.34,7.39,110,32.4
060060,UNNAMED POND,8/14/1985,74.72379444,44.36673056,1.63,0,0.16,0.026,-26.1,1.66,7.2,0.021,0.018,0.1,0.36,0.1,0.04,0.35,0,,14,0.121,0.02,0,0.008,4.51,4.61,4.58,35,15.6
060061,LONE POND,7/17/1986,74.75851944,44.34867222,3.03,0,0.2,0.085,1.1,1.5,9,0.02,0.015,1.6,0.94,0.25,0.27,0.14,0,57,,0.616,0.029,0,0.006,4.86,4.93,4.98,100,16.3
060062,LEONARD POND,7/25/1984,74.73212778,44.33117222,6.22,0,0.36,0.071,61.4,0.77,4.5,0.021,0.023,0.2,2.54,0.59,0.57,0.42,0,4,,0.029,0.004,,,6.32,6.77,6.77,25,22.4
060063,CROOKED LAKE,7/15/1985,74.73546389,44.34172778,5.33,0,0.35,0.088,87.6,1.37,10.5,0.042,0.044,2.7,2.92,0.76,0.84,0.52,0.05,,90,0.189,0.005,0,0.006,6.54,6.6,6.9,70,26.2
060064,ROBERTS POND,7/15/1985,74.74296389,44.34589444,3.7,0,0.18,0.066,-60.6,3.01,11.3,0.023,0.02,0,0.77,0.2,0.25,0.23,0.04,,55,0.19,0.005,0,0.007,4.14,4.16,4.29,100,30.1
060065,PRESTON POND,7/15/1985,74.73212778,44.34589444,2.79,0,0.29,0.022,-37.7,0.92,3.7,0.013,,0,0.35,0.1,0.08,0.21,0.03,,24,0.085,0.029,0,0.019,4.38,4.51,4.48,15,19.5
060067,UNNAMED POND,7/25/1984,74.72129444,44.31089444,3.52,0,0.3,0.028,-48.4,1.63,7.6,0.013,0.015,0.1,0.64,0.14,0.09,0.24,0,45,,0.43,0.025,,,4.26,4.32,4.33,100,
060068,MUD POND,8/14/1985,74.657125,44.29395,4.76,0,0.68,0.119,81.9,1.14,16.4,0.022,0.024,1.6,2.75,1.04,1.32,0.22,0.25,,68,0.546,0.006,0,0.008,6.05,6.2,6.6,200,29.3
060070,WINDFALL POND,8/14/1985,74.62795556,44.32950556,4.54,0,0.2,0.073,163.1,4.14,10.6,0.022,0.027,0.9,3.37,0.83,1.04,0.26,0.03,,53,0.388,0.027,0,0.005,5.76,6.34,7.22,50,31.2
060073,SEVEN SISTERS(LINE) POND,8/14/1985,74.61962222,44.28533889,2.48,0,0.09,0.025,-13.5,0.45,1.9,0.008,0.008,0.1,0.53,0.12,0.06,0.17,0,,9,0.049,0.018,0,0.003,4.53,4.71,4.72,5,13.8
060074,SEVEN SISTERS POND,8/14/1985,74.61851111,44.28228333,4.09,0,0.17,0.029,-47.7,0.54,2.5,0.005,0.004,0,0.62,0.15,0.09,0.12,0,,25,0.119,0.022,0,0.013,4.36,4.38,4.36,10,24.4
060075,UNNAMED POND,8/6/1986,74.61545556,44.27922778,3.76,0,0.31,0.024,-81.7,4.01,17.9,0.029,0.027,0,0.76,0.18,0.12,0.26,0.01,73,,0.498,0.037,0.002,0.01,4.11,4.15,4.14,180,37
060077,SEVEN SISTERS POND,8/6/1986,74.60156389,44.27978333,2.31,0,0.26,0.015,-11.3,0.37,5.5,0.039,0.07,0,0.54,0.16,0.06,0.25,0,,,0.094,0.044,0,0.003,4.88,4.81,4.8,25,12.1
060078,MARSH POND,8/6/1986,74.60823056,44.26506111,3.81,,30.91,0.051,13.1,2.3,13.1,,0.037,2,2.39,0.51,15.7,0.64,,89,,0.644,0.066,0,0.012,5.27,5.08,5.23,160,104.3
060079,UNNAMED POND,8/14/1985,74.53489444,44.27061667,4.37,0,0.23,0.091,152.8,4.45,11.7,0.027,0.027,6.3,3.97,0.74,0.97,0.46,0,,140,0.122,0.008,0,0.002,5.75,6.07,7.07,90,31.3
060080,EAGLE CRAG LAKE,7/22/1986,74.610175,44.18783889,4.69,0,0.27,0.083,50.8,0.45,4.1,0.006,0.005,2,2.13,0.41,0.62,0.3,0,25,,0.007,0.007,0,0.001,6,6.76,6.49,20,20.2
060081,BUCK POND,8/11/1986,74.62128611,44.17811667,3.9,0,0.13,0.051,14.2,1.01,9.2,0.021,0.024,0.2,1.74,0.21,0.23,0.04,0.01,157,,0.18,0.04,0.001,0.006,5.11,5.23,5.31,70,16.8
060082,LILYPAD POND,7/22/1986,74.59878611,44.19728333,4.71,0,0.49,0.047,97.8,1.52,4.8,0.005,0.005,2.7,2.52,0.48,0.78,0.2,0,53,,0.144,0.029,0,0.002,6.11,6.54,6.85,25,24.1
060084,PINE POND,7/26/1985,74.65712222,44.14172778,1.63,0,0.13,0.024,20.5,0.7,5.9,0.027,0.022,0.3,0.98,0.13,0.12,0.26,0,,46,0.244,0.049,0,0.007,5.1,5.59,5.84,35,9.2
060085,PIERCEFIELD FLOW,8/6/1985,74.56572778,44.23339444,5.62,0.06,1.15,0.065,130.2,1.55,5.1,0.01,0.011,3.3,3.51,0.71,1.45,0.37,,,50,0.181,0.008,0,0.002,5.76,7.19,7.05,30,33.2
060087,GULL POND,7/22/1986,74.52378333,44.21645,5.14,0,0.5,0.046,64.4,0.18,4.3,0.005,0.006,1.6,2.54,0.45,0.72,0.3,0,23,,0.012,0.014,0,0,6.27,6.99,6.7,15,23.4
060088,MINNOW POND,8/6/1985,74.53045,44.19367222,4.33,0,0.25,0.048,14.6,0.31,4.3,0.012,0.012,0,1.69,0.28,0.39,0.27,,,43,0.159,0.037,0,0.003,5.89,6.03,5.96,25,15.9
060091,WOODBURY POND,8/8/1986,74.42905556,44.26005833,4.16,,0.29,0.049,84.4,3.08,28.8,0.036,0.036,6.7,3.3,0.57,0.77,0.19,0,356,,1.543,0.136,0,0.011,5.58,5.4,5.76,330,26.9
060093,LEAD POND,7/19/1984,74.41877778,44.27811389,4.32,0,0.23,0.074,181.1,2.1,9.2,0.026,0.026,1.8,3.72,1.02,0.97,0.24,0.01,30,,0.89,0.004,,,6.71,6.95,7.16,100,32.1
060094,UNNAMED POND,8/13/1985,74.42405556,44.27839167,3.49,0,0.09,0.024,-49.8,0.42,3.7,0.01,0.01,0,0.38,0.11,0.05,0.01,0,,33,0.158,0.006,0,0.007,4.33,4.31,4.35,20,22.8
060095,LITTLE WOLF LAKE,8/13/1985,74.47266944,44.25172778,5.3,0,0.74,0.043,151.7,1.91,5,0.013,0.01,4.3,3.63,0.75,1.03,0.34,0,,15,0.172,0.002,0,0.003,6.32,7.32,7.13,30,31.2
060096,HAYMEADOW POND,8/6/1986,74.510725,44.27339444,3.18,0,0.31,0.032,26.5,4.43,26.7,,0.044,4.9,2.41,0.45,0.55,0.28,0,215,,1.551,0.047,0.003,0.017,4.99,4.95,5.04,320,22.8
060098,TOUGUE (LOST) POND,8/8/1986,74.48989167,44.27672778,2.9,,0.26,0.053,154.7,2.33,5.4,0.022,0.018,4.7,2.89,0.46,0.79,0.25,0.01,56,,0.127,0.005,0,0.002,6.41,6.89,7.18,35,24.1
060101,NORTH SPECTACLE POND,8/13/1985,74.48850278,44.29228333,4,0,0.15,0.042,151.6,2.47,7.7,0.014,0.014,2.4,2.97,0.93,0.76,0.2,0,,33,0.097,0.007,0.001,0.003,6.5,6.71,7.26,60,26.9
060102,SOUTH SPECTACLE POND,8/13/1985,74.48933611,44.28895,3.94,0,0.21,0.043,296.6,4.44,5.4,0.012,0.013,8.1,5.11,1.33,1.05,0.36,,,,0.282,0.005,0,0.002,6.55,7.13,7.6,45,41.8
060104,HEAVENS POND,8/8/1986,74.46461389,44.30367222,4.92,,0.23,0.031,45.5,0.91,3.9,0.017,0.018,1.6,2.04,0.32,0.49,0.2,0,8,,0.099,0,0,0.018,6.6,6.61,6.73,20,
060107,UNNAMED POND,8/8/1986,74.45155833,44.29783889,1.2,,0.18,0.026,-86.9,1.6,24.4,0.019,0.021,0.2,0.3,0.12,0.09,0.09,0,,,0.339,0.009,0.001,0.007,4.05,4.09,4.11,225,33.9
060110,TUPPER LAKE RESERVOIR,8/1/1985,74.47016944,44.18478333,2.43,0,2.8,0.052,302.5,5.57,13,0.062,,3.8,4.96,1.26,2.58,0.74,0,,94,0.572,0.097,0,0.002,6.08,6.59,7.46,110,47.2
060116,LOST POND,7/23/1986,74.60600556,44.08200556,3.85,0,0.15,0.067,345.6,4.19,11.6,0.016,0.017,4.8,6.11,1.2,0.48,0.27,0,84,,0.076,0,0,0.001,6.81,7.15,7.57,80,44.1
060117,BEAR POND,7/23/1986,74.65295278,44.08033889,5.19,0,0.32,0.056,139,1.61,6.6,0.006,0.009,1.9,3.49,0.66,0.52,0.3,0,26,,0.032,0,0,0.002,6.55,7.11,7.15,40,29.6
060118,ROUND LAKE,8/6/1985,74.58017222,44.08617222,5.48,0.02,0.56,0.067,76.2,0.67,5.7,0.009,0.007,2.6,2.95,0.57,0.91,0.43,,,61,0.055,0.008,0,0.005,5.88,6.82,6.65,35,26.1
060119,UNNAMED POND,7/8/1985,74.55628056,44.06700556,1.53,0,0.17,0.019,-36.4,0.83,8.6,0.03,,0.1,0.18,0.05,0.09,0.18,0.02,,29,0.088,0.01,0.003,0.005,4.52,4.41,4.42,50,
060121,HEDGEHOG POND,7/11/1985,74.55766944,44.06006111,4.82,0,0.31,0.022,-69.8,0.33,8.6,0.016,0.015,0.4,0.53,0.13,0.12,0.29,,,58,0.149,0.026,0.003,0.013,4.1,4.19,4.19,110,33.9
060122,UNNAMED POND,7/25/1986,74.55711389,44.06311667,2.12,0,0.38,0.067,82.2,2.22,18.6,0.059,0.046,1.4,2.72,0.5,0.24,0.35,0,57,,0.212,0.024,0,0.005,5.61,5.83,6.39,140,21.4
060123,HANDSOME POND,8/2/1985,74.45266667,44.06645,6.32,0.18,0.28,0.071,105.6,1.53,3.4,0.01,0.007,3.8,3.4,0.67,0.83,0.39,0.02,,21,0.007,0.002,0,0.004,5.98,7.18,7.13,10,31.1
060124,UNNAMED POND,7/8/1985,74.540725,44.07339444,3.72,0,0.25,0.072,28.7,0.84,12.2,0.03,0.03,3.2,1.4,0.34,0.7,0.36,0.02,,185,0.151,0.024,0.003,0.022,5.18,5.24,5.38,80,
060125,SPERRY POND,7/12/1985,74.51766944,44.08283889,6.05,0,1.01,0.074,106.4,1.41,8.7,0.018,0.016,4.7,3.56,0.68,1.33,0.29,,,104,0.101,0.005,0,0.005,6.41,6.98,7,120,31.6
060125A,UNNAMED POND,7/25/1986,74.52655833,44.08395,3.46,0,0.19,0.115,18.6,2.02,13,0.025,0.01,3.3,1.49,0.42,0.35,0.21,0,173,,0.149,0.011,0,0.012,5.15,5.07,5.16,100,19.7
060134,CHARLEY POND,7/15/1985,74.68434167,44.02895,5.32,0,0.23,0.091,67.7,0.75,5.7,0.014,0.013,2.3,2.64,0.44,0.67,0.3,0.04,,59,0.061,0.002,0,0.015,6.45,6.93,6.68,35,22.4
060135,EAST CHARLEY POND,7/23/1986,74.68489722,44.04478333,4.75,0.02,0.2,0.116,33.3,0.54,3.2,0.015,0.006,2.3,2.06,0.28,0.4,0.22,0,15,,0.009,0.001,0,0.003,6.38,6.46,6.51,10,19.9
060136,LITTLE CHARLEY POND,7/23/1986,74.70128889,44.04117222,4.81,0.07,0.2,0.083,89.4,1.02,5.3,0.012,,4,2.66,0.5,0.65,0.24,0,59,,0.062,0,0,0.001,7.02,7,6.97,30,24.9
060137,SOUTH BETTNER POND,8/6/1985,74.65573056,44.03533889,4.51,0,0.21,0.085,70.9,0.84,7.7,0.009,0.009,1.3,2.62,0.48,0.78,0.33,,,69,0.037,0.002,0,0.002,5.95,6.66,6.76,55,22.6
060138,NORTHERN BETTNER POND,7/23/1986,74.64656389,44.04145,2.97,0,0.17,0.081,55.7,3.14,16.6,0.025,,4,2.15,0.38,0.52,0.17,0.1,275,,0.643,0.052,0,0.009,5.62,5.54,6.09,175,20.4
060139,OTTER POND,7/23/1986,74.64323056,44.05978333,4.07,0.03,0.16,0.08,104.9,1.84,8.7,0.027,0.013,3.6,3.09,0.48,0.43,0.17,0.01,164,,0.268,0.035,0,0.01,6.25,6.43,6.97,70,24.6
060140,CUB POND,8/6/1985,74.66823056,44.05728333,3.27,0,0.18,0.072,159,3.33,8.8,0.029,0.03,1.3,3.75,0.7,0.63,0.4,,,92,0.235,0.019,0,0.013,6.21,6.36,7.11,80,27.6
060141,UNNAMED POND,8/6/1985,74.63878611,44.06367222,3.58,0,0.19,0.037,519.1,7.13,9.9,0.02,0.027,3.3,10.85,1.29,0.38,0.43,,,27,0.027,0.013,0.001,0.002,6.47,7.31,7.68,50,60.1
060142,LOON POND,7/23/1986,74.637675,44.06672778,5.75,0.19,0.3,0.055,63.6,0.88,3.4,0.003,0.004,1,2.49,0.48,0.41,0.37,0.01,18,,0,0,0,0.001,6.61,6.87,6.85,10,24.7
060143,HORSESHOE LAKE,7/21/1986,74.62906389,44.13061667,4.78,0,0.44,0.076,75.3,0.67,5.9,0.016,0.023,3.8,2.44,0.57,0.9,0.32,0,36,,0.093,0.012,0,0,6.76,6.86,6.79,35,23.6
060144,HITCHENS POND,7/22/1986,74.65656389,44.11367222,3.04,0,0.21,0.063,81,1.65,11.4,0.012,0.012,4.1,2.39,0.54,0.6,0.25,0.01,102,,0.88,0.126,0,0.008,5.88,6.1,6.41,120,20.1
060145,LITTLE TROUT POND,7/23/1986,74.65378611,44.09339444,3.67,0,0.25,0.065,54,1.39,12,0.013,,2.4,2.27,0.39,0.42,0.2,0.01,169,,0.388,0.069,0,0.01,6.02,5.88,6.32,140,19.9
060146,TROUT POND,7/23/1986,74.657675,44.08867222,5.58,0.02,0.3,0.063,22.6,0.25,3.6,0.003,0.013,0.9,1.74,0.38,0.38,0.3,0,27,,0.004,0.088,0,0.013,6.2,6.22,6.15,15,19.8
060147,HIGH POND,7/26/1984,74.65906389,44.08533889,6.04,0,0.38,0.06,-18,0.18,2.6,0.004,0.004,2.1,1.04,0.24,0.29,0.31,0,120,,0.101,0.072,,,4.7,4.78,4.81,20,18.9
060148,LITTLE PINE POND,7/26/1985,74.65851111,44.13145,3.63,0,0.06,0.034,-12.3,0.34,2.7,0.032,,0,0.49,0.1,0.3,0.2,0,,225,0.026,0.048,0,0.021,4.48,4.72,4.75,10,15.6
060149,BRADFORD POND,8/13/1985,74.71073333,44.10033889,2.96,0,0,0.073,-20.3,0.55,4.5,0.013,0.013,0.2,0.73,0.13,0.27,0.01,,,44,0.113,0.027,0.001,0.005,4.95,4.74,4.76,25,14.7
060150,SOUTHERN HORNET POND,7/19/1985,74.7224,44.09672778,4.19,0,0.05,0.042,-2.1,0.23,4,0.029,,0,1.19,0.19,0.38,0.15,0.01,,95,0.105,0.036,0.001,0.02,5,5.32,5.3,15,15.1
060151,NORTHERN HORNET POND,7/19/1985,74.72462222,44.09978333,3.87,0,0.06,0.04,12.2,0.35,4.5,0.032,0.012,0,1.24,0.2,0.47,0.15,0.02,,116,0.188,0.029,0.001,0.008,5.15,5.65,5.75,25,14.5
060152,HORNET (3 POUND) POND,7/19/1985,74.732125,44.09978333,5.07,0.02,0.2,0.043,-7.2,0.16,2.3,0.021,0.014,0,1.33,0.22,0.35,0.26,0.05,,104,0.012,0.055,0.001,0.042,4.74,5.13,5.14,5,18.1
060153,UNNAMED (ALFRED) POND,8/13/1985,74.70795556,44.09422778,3.26,0,0.23,0.072,85,1.33,7.8,0.015,0.015,3.8,2.27,0.55,0.71,0.41,,,39,0.275,0.005,0,0.01,6.21,6.43,6.95,60,20.4
060154,LONG POND,8/13/1985,74.70156667,44.08506111,4.13,0,0.09,0.1,14.5,0.52,4.5,0.009,0.009,0,1.59,0.3,0.28,0.07,,,40,0.104,0.014,0.001,0.007,6.12,5.63,5.82,15,14.6
060155,FIRST POND,8/7/1985,74.72184444,44.09089444,4.26,0,0.21,0.082,53.4,0.98,4.8,0.008,0.008,1.4,2.22,0.43,0.61,0.34,0,,28,0.056,0.015,0,0.004,5.98,6.72,6.81,20,20
060156A,SECOND POND,8/7/1985,74.73823611,44.09256111,4.3,0,0.2,0.08,48.3,0.87,5.4,0.009,0.008,1,2.16,0.42,0.61,0.32,0,,29,0.036,0.011,0,0.005,5.94,6.61,6.77,20,19.6
